kappa,visibility
0.5,0.20961138715109784
0.55,0.28206295169381557
0.6,0.3678794411714423
0.65,0.4650431881340564
0.7,0.5697828247309229
0.75,0.676633846161729
0.8,0.7788007830714049
0.8500000000000001,0.8688150562628433
0.9,0.9394130628134758
0.95,0.9844964370054085
1.0,1.0
1.05,0.9844964370054085
1.1,0.9394130628134757
1.15,0.8688150562628433
1.2000000000000002,0.7788007830714044
1.25,0.676633846161729
1.3,0.5697828247309229
1.35,0.4650431881340561
1.4,0.3678794411714425
1.4500000000000002,0.28206295169381523
1.5,0.20961138715109784
